City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,241,Presidente Medici,-11.1753,-61.9014,71.35,45,7,1.9,BR,2022-07-28 05:27:33
243,243,Cabedelo,-6.9811,-34.8339,70.47,86,68,10.18,BR,2022-07-28 05:25:33
244,244,Nicolas Bravo,18.45,-88.9167,72.95,99,64,1.86,MX,2022-07-28 05:27:34
245,245,Sakakah,29.9697,40.2064,90.97,11,6,11.45,SA,2022-07-28 05:27:34
246,246,Ribeira Grande,38.5167,-28.7,72.16,83,21,8.32,PT,2022-07-28 05:27:35
247,247,Necocli,8.4234,-76.786,74.97,94,100,10.02,CO,2022-07-28 05:27:35
248,248,Caravelas,-17.7125,-39.2481,67.03,87,38,1.77,BR,2022-07-28 05:27:36
249,249,Nalut,30.3333,10.85,78.66,30,0,9.69,LY,2022-07-28 05:27:36
250,250,Kavaratti,10.5669,72.642,79.57,84,98,19.51,IN,2022-07-28 05:27:37
251,251,Kruisfontein,-34.0033,24.7314,51.94,92,4,5.77,ZA,2022-07-28 05:27:38
252,252,Fort-Shevchenko,44.5086,50.263,76.32,70,78,10.51,KZ,2022-07-28 05:27:38
253,253,Provideniya,64.3833,-173.3,44.71,100,100,7.0,RU,2022-07-28 05:27:38
254,254,Hasaki,35.7333,140.8333,91.8,77,76,16.28,JP,2022-07-28 05:27:39
255,255,Kununurra,-15.7667,128.7333,82.38,18,5,10.36,AU,2022-07-28 05:27:39
256,256,Wajima,37.4,136.9,86.68,84,75,3.44,JP,2022-07-28 05:27:40
257,257,Piazza Armerina,37.3859,14.3672,76.55,57,1,4.7,IT,2022-07-28 05:27:40
258,258,Itacarambi,-15.1022,-44.0919,62.29,64,0,2.75,BR,2022-07-28 05:27:41
259,259,Old Town,50.087,14.4202,60.28,76,0,3.44,CZ,2022-07-28 05:27:41
260,260,Ocos,14.5094,-92.1933,75.38,78,74,3.4,GT,2022-07-28 05:27:41
