,City,Country,Max Temp,Lat,Lng,Hotel Name
364,Villarrica,PY,66.43,-25.75,-56.4333,Mansión Reljuv Tours SA
365,Igarka,RU,61.65,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
366,Erenhot,CN,90.88,43.6475,111.9767,Erenhot Rurouni Youth Hostel
367,Lasa,IT,63.48,46.6166,10.7002,Pension Feldgärtenhof
368,Mindelo,CV,78.35,16.8901,-24.9804,Hotel Gaudi
369,Sinnamary,GF,75.87,5.3833,-52.95,ALETHEIA Appartement Sinnamary
370,Pochutla,MX,76.82,15.7432,-96.4661,Hotel Posada San Jose
371,Bambari,CF,70.72,5.768,20.6757,Hotel-Restaurant BIBICH
372,Gunjur,GM,78.87,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
373,San Policarpo,PH,88.81,12.1791,125.5072,Agapita M. Nicart
374,Lazo,RU,88.84,43.3817,133.9014,
375,Richards Bay,ZA,65.23,-28.783,32.0377,BON Hotel Waterfront Richards Bay
376,Presidencia Roque Saenz Pena,AR,72.54,-26.7852,-60.4388,Hotel Gualok
377,Vallenar,CL,58.41,-28.5708,-70.7581,
378,Tommot,RU,85.95,58.9564,126.2925,Gostinitsa Tommot
379,Adrar,MR,92.35,20.5022,-10.0711,
380,Sechura,PE,63.09,-5.5569,-80.8222,Hospedaje Costa Bella
381,Belyy Yar,RU,73.29,53.6039,91.3903,Pasportnyy Stol
